[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:undeadnights:demolition_zombie>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:undeadnights:elite_zombie>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:undeadnights:tnt_projectile>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:grizzly_bear>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:roadrunner>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:bone_serpent>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:bone_serpent_part>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:gazelle>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:crocodile>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:fly>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:hummingbird>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:orca>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:sunbird>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:gorilla>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:crimson_mosquito>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:mosquito_spit>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:rattlesnake>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:endergrade>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:hammerhead_shark>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:shark_tooth_arrow>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:lobster>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:komodo_dragon>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:capuchin_monkey>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:tossed_item>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:centipede_head>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:centipede_body>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:centipede_tail>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:warped_toad>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:moose>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:mimicube>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:raccoon>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:blobfish>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:seal>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cockroach>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:cockroach_egg>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:shoebill>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:elephant>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:soul_vulture>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:snow_leopard>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:spectre>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:crow>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:alligator_snapping_turtle>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:mungus>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:alexsmobs:mantis_shrimp>
